case,route,condition,expected_ml,actual_ml,thermal_condition,result
1,Delhi -> Jaipur,Healthy,NORMAL,NORMAL,NORMAL,PASS
2,Delhi -> Jaipur,Cooling Degradation,COOLING_DEGRADATION,COOLING_DEGRADATION,NORMAL,PASS
3,Delhi -> Jaipur,Low Oil Pressure,OIL_PRESSURE_DEGRADATION,OIL_PRESSURE_DEGRADATION,NORMAL,PASS
4,Delhi -> Jaipur,Excessive Vibration,EXCESSIVE_VIBRATION,EXCESSIVE_VIBRATION,NORMAL,PASS
5,Delhi -> Jaipur,Sensor Drift,SENSOR_DRIFT,SENSOR_DRIFT,NORMAL,PASS
6,Delhi -> Jaipur,Misfire,MISFIRE,MISFIRE,NORMAL,PASS
7,Delhi -> Jaipur -> Jodhpur,Healthy,NORMAL,NORMAL,NORMAL,PASS
8,Delhi -> Jaipur -> Jodhpur,Cooling Degradation,COOLING_DEGRADATION,COOLING_DEGRADATION,NORMAL,PASS
9,Delhi -> Jaipur -> Jodhpur,Low Oil Pressure,OIL_PRESSURE_DEGRADATION,OIL_PRESSURE_DEGRADATION,NORMAL,PASS
10,Delhi -> Jaipur -> Jodhpur,Excessive Vibration,EXCESSIVE_VIBRATION,EXCESSIVE_VIBRATION,NORMAL,PASS
11,Delhi -> Jaipur -> Jodhpur,Sensor Drift,SENSOR_DRIFT,SENSOR_DRIFT,NORMAL,PASS
12,Delhi -> Jaipur -> Jodhpur,Misfire,MISFIRE,MISFIRE,NORMAL,PASS
13,Delhi -> Jaipur -> Ahmedabad,Healthy,NORMAL,NORMAL,NORMAL,PASS
14,Delhi -> Jaipur -> Ahmedabad,Cooling Degradation,COOLING_DEGRADATION,COOLING_DEGRADATION,NORMAL,PASS
15,Delhi -> Jaipur -> Ahmedabad,Low Oil Pressure,OIL_PRESSURE_DEGRADATION,OIL_PRESSURE_DEGRADATION,NORMAL,PASS
16,Delhi -> Jaipur -> Ahmedabad,Excessive Vibration,EXCESSIVE_VIBRATION,EXCESSIVE_VIBRATION,NORMAL,PASS
17,Delhi -> Jaipur -> Ahmedabad,Sensor Drift,SENSOR_DRIFT,SENSOR_DRIFT,NORMAL,PASS
18,Delhi -> Jaipur -> Ahmedabad,Misfire,MISFIRE,MISFIRE,NORMAL,PASS
19,Delhi -> Jaipur -> Mumbai,Healthy,NORMAL,NORMAL,NORMAL,PASS
20,Delhi -> Jaipur -> Mumbai,Cooling Degradation,COOLING_DEGRADATION,COOLING_DEGRADATION,NORMAL,PASS
21,Delhi -> Jaipur -> Mumbai,Low Oil Pressure,OIL_PRESSURE_DEGRADATION,OIL_PRESSURE_DEGRADATION,NORMAL,PASS
22,Delhi -> Jaipur -> Mumbai,Excessive Vibration,EXCESSIVE_VIBRATION,EXCESSIVE_VIBRATION,NORMAL,PASS
23,Delhi -> Jaipur -> Mumbai,Sensor Drift,SENSOR_DRIFT,SENSOR_DRIFT,NORMAL,PASS
24,Delhi -> Jaipur -> Mumbai,Misfire,MISFIRE,MISFIRE,NORMAL,PASS
25,Delhi -> Jodhpur -> Jaipur,Healthy,NORMAL,NORMAL,NORMAL,PASS
26,Delhi -> Jodhpur -> Jaipur,Cooling Degradation,COOLING_DEGRADATION,COOLING_DEGRADATION,NORMAL,PASS
27,Delhi -> Jodhpur -> Jaipur,Low Oil Pressure,OIL_PRESSURE_DEGRADATION,OIL_PRESSURE_DEGRADATION,NORMAL,PASS
28,Delhi -> Jodhpur -> Jaipur,Excessive Vibration,EXCESSIVE_VIBRATION,EXCESSIVE_VIBRATION,NORMAL,PASS
29,Delhi -> Jodhpur -> Jaipur,Sensor Drift,SENSOR_DRIFT,SENSOR_DRIFT,NORMAL,PASS
30,Delhi -> Jodhpur -> Jaipur,Misfire,MISFIRE,MISFIRE,NORMAL,PASS
31,Delhi -> Jodhpur,Healthy,NORMAL,NORMAL,NORMAL,PASS
32,Delhi -> Jodhpur,Cooling Degradation,COOLING_DEGRADATION,COOLING_DEGRADATION,NORMAL,PASS
33,Delhi -> Jodhpur,Low Oil Pressure,OIL_PRESSURE_DEGRADATION,OIL_PRESSURE_DEGRADATION,NORMAL,PASS
34,Delhi -> Jodhpur,Excessive Vibration,EXCESSIVE_VIBRATION,EXCESSIVE_VIBRATION,NORMAL,PASS
35,Delhi -> Jodhpur,Sensor Drift,SENSOR_DRIFT,SENSOR_DRIFT,NORMAL,PASS
36,Delhi -> Jodhpur,Misfire,MISFIRE,MISFIRE,NORMAL,PASS
37,Delhi -> Jodhpur -> Ahmedabad,Healthy,NORMAL,NORMAL,NORMAL,PASS
38,Delhi -> Jodhpur -> Ahmedabad,Cooling Degradation,COOLING_DEGRADATION,COOLING_DEGRADATION,NORMAL,PASS
39,Delhi -> Jodhpur -> Ahmedabad,Low Oil Pressure,OIL_PRESSURE_DEGRADATION,OIL_PRESSURE_DEGRADATION,NORMAL,PASS
40,Delhi -> Jodhpur -> Ahmedabad,Excessive Vibration,EXCESSIVE_VIBRATION,EXCESSIVE_VIBRATION,NORMAL,PASS
41,Delhi -> Jodhpur -> Ahmedabad,Sensor Drift,SENSOR_DRIFT,SENSOR_DRIFT,NORMAL,PASS
42,Delhi -> Jodhpur -> Ahmedabad,Misfire,MISFIRE,MISFIRE,NORMAL,PASS
43,Delhi -> Jodhpur -> Mumbai,Healthy,NORMAL,NORMAL,NORMAL,PASS
44,Delhi -> Jodhpur -> Mumbai,Cooling Degradation,COOLING_DEGRADATION,COOLING_DEGRADATION,NORMAL,PASS
45,Delhi -> Jodhpur -> Mumbai,Low Oil Pressure,OIL_PRESSURE_DEGRADATION,OIL_PRESSURE_DEGRADATION,NORMAL,PASS
46,Delhi -> Jodhpur -> Mumbai,Excessive Vibration,EXCESSIVE_VIBRATION,EXCESSIVE_VIBRATION,NORMAL,PASS
47,Delhi -> Jodhpur -> Mumbai,Sensor Drift,SENSOR_DRIFT,SENSOR_DRIFT,NORMAL,PASS
48,Delhi -> Jodhpur -> Mumbai,Misfire,MISFIRE,MISFIRE,NORMAL,PASS
49,Delhi -> Ahmedabad -> Jaipur,Healthy,NORMAL,NORMAL,NORMAL,PASS
