test,time_s,phase,rpm,throttle_pct,altitude_m,cht_c,egt_c,oil_temperature_c,fault_type,thermal_condition
Healthy,0.0,GROUND,2929.0,0.0,0.0,51.2,50.6,49.1,NORMAL,NORMAL
Healthy,0.1,GROUND,2858.0,0.0,0.0,50.800000000000004,49.900000000000006,50.2,NORMAL,NORMAL
Healthy,0.2,GROUND,2803.0,0.0,0.0,51.5,48.1,49.6,NORMAL,NORMAL
Healthy,0.30000000000000004,GROUND,2740.0,0.0,0.0,50.6,48.7,50.0,NORMAL,NORMAL
Healthy,0.4,GROUND,2679.0,0.0,0.0,50.2,48.900000000000006,50.2,NORMAL,NORMAL
Healthy,0.5,GROUND,2622.0,0.0,0.0,50.300000000000004,48.400000000000006,50.6,NORMAL,NORMAL
Healthy,0.6,GROUND,2560.0,0.0,0.0,49.900000000000006,46.400000000000006,49.300000000000004,NORMAL,NORMAL
Healthy,0.7,GROUND,2516.0,0.0,0.0,51.300000000000004,45.400000000000006,50.1,NORMAL,NORMAL
Healthy,0.7999999999999999,GROUND,2472.0,0.0,0.0,49.800000000000004,46.7,49.300000000000004,NORMAL,NORMAL
Healthy,0.8999999999999999,GROUND,2418.0,0.0,0.0,49.900000000000006,47.900000000000006,49.800000000000004,NORMAL,NORMAL
Healthy,0.9999999999999999,GROUND,2370.0,0.0,0.0,50.6,45.300000000000004,50.1,NORMAL,NORMAL
Healthy,1.0999999999999999,GROUND,2333.0,0.0,0.0,49.7,45.6,50.0,NORMAL,NORMAL
Healthy,1.2,GROUND,2278.0,0.0,0.0,50.6,45.800000000000004,51.1,NORMAL,NORMAL
Healthy,1.3,GROUND,2238.0,0.0,0.0,51.0,42.800000000000004,49.400000000000006,NORMAL,NORMAL
Healthy,1.4000000000000001,GROUND,2202.0,0.0,0.0,50.0,44.2,49.300000000000004,NORMAL,NORMAL
Healthy,1.5000000000000002,GROUND,2158.0,0.0,0.0,49.400000000000006,43.5,51.0,NORMAL,NORMAL
Healthy,1.6000000000000003,GROUND,2116.0,0.0,0.0,49.6,41.7,50.1,NORMAL,NORMAL
Healthy,1.7000000000000004,GROUND,2082.0,0.0,0.0,49.0,43.900000000000006,49.900000000000006,NORMAL,NORMAL
Healthy,1.8000000000000005,GROUND,2043.0,0.0,0.0,49.300000000000004,43.6,49.300000000000004,NORMAL,NORMAL
Healthy,1.9000000000000006,GROUND,2007.0,0.0,0.0,49.800000000000004,42.800000000000004,49.6,NORMAL,NORMAL
Healthy,2.0000000000000004,GROUND,1964.0,0.0,0.0,50.1,42.900000000000006,49.2,NORMAL,NORMAL
Healthy,2.1000000000000005,GROUND,1938.0,0.0,0.0,50.2,44.300000000000004,49.0,NORMAL,NORMAL
Healthy,2.2000000000000006,GROUND,1906.0,0.0,0.0,49.300000000000004,41.7,50.1,NORMAL,NORMAL
Healthy,2.3000000000000007,GROUND,1868.0,0.0,0.0,49.800000000000004,41.800000000000004,49.6,NORMAL,NORMAL
Healthy,2.400000000000001,GROUND,1841.0,0.0,0.0,49.1,42.1,49.5,NORMAL,NORMAL
Healthy,2.500000000000001,GROUND,1803.0,0.0,0.0,49.2,40.5,49.900000000000006,NORMAL,NORMAL
Healthy,2.600000000000001,GROUND,1777.0,0.0,0.0,49.5,40.7,50.800000000000004,NORMAL,NORMAL
Healthy,2.700000000000001,GROUND,1754.0,0.0,0.0,48.5,38.300000000000004,50.400000000000006,NORMAL,NORMAL
Healthy,2.800000000000001,GROUND,1724.0,0.0,0.0,49.7,39.900000000000006,49.5,NORMAL,NORMAL
Healthy,2.9000000000000012,GROUND,1687.0,0.0,0.0,48.900000000000006,39.5,49.1,NORMAL,NORMAL
Healthy,3.0000000000000013,GROUND,1669.0,0.0,0.0,49.300000000000004,40.900000000000006,49.5,NORMAL,NORMAL
Healthy,3.1000000000000014,GROUND,1645.0,0.0,0.0,49.1,41.900000000000006,49.2,NORMAL,NORMAL
Healthy,3.2000000000000015,GROUND,1615.0,0.0,0.0,50.400000000000006,37.800000000000004,49.900000000000006,NORMAL,NORMAL
Healthy,3.3000000000000016,GROUND,1586.0,0.0,0.0,48.2,40.6,49.1,NORMAL,NORMAL
